Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
OneWeb-0574                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043T;56063
OneWeb-0575                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043U;56064
OneWeb-0576                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043V;56065
OneWeb-0577                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043W;56066
OneWeb-0578                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043X;56067
OneWeb-0579                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043Y;56068
OneWeb-0580 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166G ;54648
OneWeb-0581                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043Z;56069
OneWeb-0582 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166H ;54649
OneWeb-0583 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166J ;54650
OneWeb-0584 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166K ;54651
OneWeb-0585 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166L ;54652
OneWeb-0586 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166M ;54653
OneWeb-0587 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1123.0;1131.0;0.000533546752034147;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166N ;54654
OneWeb-0588                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004P;55153
OneWeb-0589 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166P ;54655
OneWeb-0590 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166Q ;54656
OneWeb-0591 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166R ;54657
OneWeb-0592 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166S ;54658
OneWeb-0593 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166T ;54659
OneWeb-0594 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166U ;54660
OneWeb-0595 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166V ;54661
OneWeb-0596 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166W ;54662
OneWeb-0597 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166X ;54663
OneWeb-0598                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004Q;55154
OneWeb-0599                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004R;55155
OneWeb-0600 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166Y ;54664
OneWeb-0601 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166Z ;54665
OneWeb-0602 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AA ;54666
OneWeb-0603 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AB ;54667
OneWeb-0604 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AC ;54668
OneWeb-0605 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AD ;54669
OneWeb-0606 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AE ;54670
OneWeb-0607 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AF ;54671
OneWeb-0608 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AG ;54672
OneWeb-0609                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AA;56070
OneWeb-0610 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AH ;54673
OneWeb-0611 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AJ ;54674
OneWeb-0612 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AK ;54675
OneWeb-0613                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AB;56071
OneWeb-0614                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004S;55156
OneWeb-0615 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AL ;54676
OneWeb-0616                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004T;55157
OneWeb-0617                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004U;55158
OneWeb-0618                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004V;55159
OneWeb-0619                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004W;55160
OneWeb-0620                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004X;55161
OneWeb-0621                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004Y;55162
OneWeb-0622                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004Z;55163
OneWeb-0623                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004AA;55164
OneWeb-0624                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004AB;55165
OneWeb-0625                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004AC;55166
OneWeb-0626                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004AD;55167
OneWeb-0627                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004AE;55168
OneWeb-0628                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.9;109.3;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-004AF;55169
OneWeb-0630                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AC;56072
OneWeb-0632                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AD;56073
OneWeb-0633                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AE;56074
OneWeb-0634                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AF;56075
OneWeb-0635                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AG;56076
OneWeb-0636                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AH;56077
OneWeb-0637                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AJ;56078
OneWeb-0638                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029G;55802
OneWeb-0639                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029H;55803
OneWeb-0640                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029J;55804
OneWeb-0641                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029K;55805
OneWeb-0642                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029L;55806
OneWeb-0643                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029M;55807
OneWeb-0644                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029N;55808
OneWeb-0645                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029P;55809
OneWeb-0646                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029Q;55810
OneWeb-0647                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AK;56079
OneWeb-0648                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029R;55811
OneWeb-0649                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029S;55812
OneWeb-0650                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029T;55813
OneWeb-0651                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AL;56080
OneWeb-0652                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029U;55814
OneWeb-0653                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029V;55815
OneWeb-0654                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029W;55816
OneWeb-0655 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AM ;54677
OneWeb-0656                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029X;55817
OneWeb-0657                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029Y;55818
OneWeb-0658                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029Z;55819
OneWeb-0659 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AN ;54678
OneWeb-0660                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AA;55820
OneWeb-0661                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AB;55821
OneWeb-0662                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AC;55822
OneWeb-0663                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AD;55823
OneWeb-0664                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AE;55824
OneWeb-0665                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AF;55825
OneWeb-0666                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AG;55826
OneWeb-0667                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AH;55827
OneWeb-0669                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AJ;55828
OneWeb-0670                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AK;55829
OneWeb-0671                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;977.0;982.0;0.00034015919450302743;87.5;104.5;148.0;140;;5.0;OneWeb Satellites;USA;Cape Canaveral;Falcon 9;2023-029AL;55830
OneWeb-0685 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AP ;54679
OneWeb-0712 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;889.0;908.0;0.001307009699387769;87.2;102.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AQ ;54680
OneWeb-0714 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1176.0;1179.0;0.00019874130506790329;87.9;108.9;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Cape Canaveral;Falcon 9;2022-166AR ;54681
OneWeb-0718                ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;733.0;738.0;0.0003518401238477236;87.1;99.4;148.0;140;;5.0;OneWeb Satellites;USA;Satish Dhawan Space Center;LVM3;2023-043AM;56081
OPTOS;NR;Spain;Spanish Space Agency;Government;Technology Development;;LEO;Sun-Synchronous;0.0;594.0;797.0;0.014365579222984927;97.8;98.7;3.0;;;;Instituto Nacional de Tecnica Aerospacial (INTA);Spain;Dombarovsky Air Base;Dnepr;2013-066E;39420
Optsat-3000;Italy;Italy;Italian Defense Ministry;Military;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;452.0;453.0;7.328691828508612e-05;97.2;93.5;368.0;;;;Israel Aerospace Industries (IAI);Israel;Guiana Space Center;Vega;2017-044A;42900
