Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
Aerocube 8D;USA;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;572.0;584.0;0.0008635578583765112;98.0;96.23;2.0;;;;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5;2016-067E;41852
Eutelsat 48D;France;Multinational;EUTELSAT S.A.;Commercial;Communications;;GEO;;48.0;35764.0;35808.0;0.0005218711452699497;0.12;1436.08;3460.0;1555;7000;15.0;EADS Astrium;France;Guiana Space Center;Ariane 5;2008-065B;33460
AII-Bravo;Lithuania;Lithuania;Aurora Insight;Commercial;Communications;;LEO;Sun-Synchronous;0.0;609.0;613.0;0.00028649190660363845;97.8;95.8;9.0;;;;NanoAvionics;USA;Guiana Space Center;Vega W18;2021-034C;48270
AII-Charlie;NR;Lithuania;Aurora Insight;Commercial;Communications;;LEO;Sun-Synchronous;0.0;522.0;535.0;0.0009422338189461477;97.5;95.2;9.0;;;;NanoAvionics;USA;Cape Canaveral;Falcon 9;2021-006AD;47440
AIM;USA;USA;Center for Atmospheric Sciences, Hampton University/NASA;Government;Earth Observation;Earth Science;LEO;Sun-Synchronous;0.0;544.0;552.0;0.0005782017924255566;97.9;96.2;215.0;197;216;2.0;Orbital Sciences Corp.;USA;Vandenberg AFB;Pegasus XL;2007-015A;31304
AISSat-1;Norway;Norway;Norwegian Coastal Admnistration;Government;Communications;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;615.0;632.0;0.001215414313290913;98.0;97.2;6.0;;;3.0;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Canada;Satish Dhawan Space Centre;PSLV;2010-035C;36797
AISSat-2;Norway;Norway;Norwegian Coastal Admnistration;Government;Communications;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;625.0;631.0;0.00042869391254644185;98.4;97.27;6.0;;;3.0;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Norway/Canada;Baikonur Cosmodrome;Soyuz-2.1b;2014-037G;40075
AISTechSat-2;Spain;Spain;AISTech;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;574.0;592.0;0.0012944052926794189;97.8;96.4;2.6;;;;GomSpace ApS;Denmark;Vandenberg AFB;Falcon 9;2018-099L;43768
AISTechSat-3;Spain;Spain;AISTech;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;490.0;506.0;0.0011648223645894002;97.5;94.6;2.3;;;;GomSpace ApS;Denmark;Satish Dhawan Space Centre;PSLV;2019-018AB;44103
Al Yah-3;Brazil;United Arab Emirates;Al Yah Satellite Communications Co. (YAHSAT);Commercial;Communications;;GEO;;-20.0;35777.0;35796.0;0.00022535077627412143;0.0;1436.0;3795.0;;;15.0;Orbital ATK;USA;Guiana Space Center;Ariane 5;2018-012A;43174
